,hero_id,variants_id,rate
0,106,2.0,21.77
1,106,1.0,78.23
2,7,2.0,79.7
3,7,1.0,20.3
4,114,2.0,83.68
5,114,1.0,16.32
6,98,1.0,49.59
7,98,2.0,50.41
8,45,1.0,86.44
9,45,2.0,13.56
10,74,2.0,89.34
11,74,1.0,10.66
12,49,1.0,86.46
13,49,2.0,10.11
14,49,3.0,3.43
15,100,2.0,48.3
16,100,1.0,51.7
17,42,2.0,80.05
18,42,1.0,19.95
19,14,2.0,86.83
20,14,1.0,13.17
21,10,1.0,96.04
22,10,2.0,3.96
23,75,2.0,67.12
24,75,1.0,32.88
25,86,2.0,67.0
26,86,1.0,33.0
27,35,1.0,39.75
28,35,2.0,60.25
29,95,1.0,83.48
30,95,2.0,16.52
31,120,1.0,38.87
32,120,2.0,61.13
33,69,2.0,46.41
34,69,1.0,51.86
35,69,3.0,1.73
36,108,2.0,77.85
37,108,1.0,22.15
38,5,1.0,85.54
39,5,2.0,14.46
40,28,1.0,79.32
41,28,2.0,20.68
42,87,1.0,81.83
43,87,2.0,18.17
44,70,1.0,33.12
45,70,2.0,66.88
46,121,1.0,88.11
47,121,2.0,11.89
48,19,1.0,97.82
49,19,2.0,2.18
50,110,1.0,89.96
51,110,2.0,10.04
52,18,2.0,59.47
53,18,1.0,40.53
54,72,1.0,64.36
55,72,2.0,35.64
56,128,2.0,85.08
57,128,1.0,14.92
58,16,1.0,46.48
59,16,2.0,53.52
60,11,1.0,81.95
61,11,2.0,18.05
62,2,2.0,34.55
63,2,1.0,65.45
64,20,1.0,46.37
65,20,2.0,53.63
66,84,2.0,82.34
67,84,1.0,17.66
68,46,2.0,62.14
69,46,1.0,37.86
70,107,2.0,6.34
71,107,1.0,83.23
72,107,3.0,10.43
73,123,2.0,94.02
74,123,1.0,5.98
75,21,3.0,49.43
76,21,2.0,50.57
77,104,2.0,11.58
78,104,1.0,88.42
79,129,2.0,89.88
80,129,1.0,10.12
81,96,2.0,74.01
82,96,1.0,25.99
83,34,1.0,86.96
84,34,2.0,13.04
85,64,1.0,28.85
86,64,2.0,71.15
87,48,3.0,77.96
88,48,2.0,22.04
89,71,1.0,91.83
90,71,2.0,8.17
91,43,3.0,79.29
92,43,1.0,10.36
93,43,2.0,10.36
94,39,2.0,86.59
95,39,1.0,13.41
96,105,3.0,29.18
97,105,2.0,61.92
98,105,1.0,8.9
99,126,1.0,93.0
100,126,3.0,7.0
101,137,1.0,97.68
102,137,2.0,2.32
103,56,2.0,64.0
104,56,1.0,36.0
105,36,1.0,84.0
106,36,2.0,16.0
107,119,2.0,25.7
108,119,1.0,74.3
109,77,2.0,36.74
110,77,3.0,37.88
111,77,1.0,25.38
112,76,1.0,76.1
113,76,2.0,23.9
114,109,1.0,81.5
115,109,2.0,18.5
116,26,1.0,65.49
117,26,2.0,34.51
118,52,1.0,28.92
119,52,2.0,71.08
120,22,2.0,47.04
121,22,1.0,52.96
122,17,2.0,89.51
123,17,1.0,10.49
124,111,2.0,83.2
125,111,1.0,16.8
126,88,2.0,85.59
127,88,1.0,14.41
128,8,1.0,79.28
129,8,2.0,20.72
130,30,1.0,71.83
131,30,2.0,11.11
132,30,3.0,17.06
133,25,1.0,89.22
134,25,2.0,10.78
135,1,2.0,69.64
136,1,1.0,30.36
137,97,2.0,97.33
138,97,3.0,2.67
139,44,2.0,60.34
140,44,1.0,39.66
141,33,2.0,45.74
142,33,1.0,54.26
143,81,2.0,19.69
144,81,1.0,80.31
145,63,1.0,96.05
146,63,2.0,3.95
147,55,1.0,80.42
148,55,2.0,19.58
149,94,3.0,85.45
150,94,1.0,14.55
151,53,2.0,94.19
152,53,1.0,5.81
153,29,1.0,75.31
154,29,2.0,24.69
155,79,1.0,91.06
156,79,2.0,8.94
157,138,1.0,79.98
158,138,2.0,20.02
159,38,2.0,67.39
160,38,1.0,32.61
161,83,2.0,89.88
162,83,1.0,10.12
163,31,2.0,19.62
164,31,1.0,80.38
165,13,1.0,94.35
166,13,2.0,5.65
167,27,1.0,96.11
168,27,2.0,3.89
169,58,2.0,18.45
170,58,1.0,81.55
171,68,1.0,72.59
172,68,2.0,27.41
173,65,1.0,76.4
174,65,2.0,23.6
175,51,2.0,93.05
176,51,1.0,6.95
177,103,1.0,35.83
178,103,2.0,64.17
179,92,3.0,94.5
180,92,1.0,5.07
181,92,2.0,0.42
182,136,2.0,31.75
183,136,1.0,68.25
184,37,2.0,51.7
185,37,1.0,48.3
186,135,1.0,87.34
187,135,2.0,12.66
188,23,1.0,53.25
189,23,2.0,46.75
190,78,2.0,36.02
191,78,1.0,63.98
192,15,2.0,20.55
193,15,1.0,79.45
194,3,1.0,67.79
195,3,2.0,32.21
196,47,1.0,93.16
197,47,2.0,6.84
198,73,1.0,91.71
199,73,2.0,8.29
200,112,1.0,72.04
201,112,2.0,27.96
202,54,2.0,92.78
203,54,3.0,7.22
204,61,2.0,62.34
205,61,1.0,37.66
206,66,5.0,82.5
207,66,4.0,0.5
208,66,3.0,13.0
209,66,2.0,3.0
210,66,1.0,1.0
211,101,2.0,20.93
212,101,1.0,79.07
213,62,1.0,91.79
214,62,2.0,8.21
215,41,3.0,43.18
216,41,2.0,56.82
217,113,2.0,78.48
218,113,1.0,21.52
219,85,2.0,26.56
220,85,1.0,73.44
221,9,1.0,10.16
222,9,2.0,89.84
223,102,2.0,50.38
224,102,1.0,49.62
225,4,1.0,96.07
226,4,2.0,3.93
227,40,2.0,64.04
228,40,1.0,35.96
229,50,2.0,85.31
230,50,1.0,14.69
231,67,2.0,83.71
232,67,1.0,16.29
233,12,1.0,53.33
234,12,2.0,46.67
235,90,1.0,85.98
236,90,2.0,14.02
237,89,2.0,87.35
238,89,1.0,12.65
239,93,1.0,74.74
240,93,2.0,25.26
241,32,2.0,72.26
242,32,1.0,27.74
243,6,1.0,46.83
244,6,2.0,53.17
245,80,2.0,4.83
246,80,1.0,24.83
247,80,3.0,70.34
248,57,2.0,52.0
249,57,1.0,48.0
250,59,1.0,35.49
251,59,3.0,61.73
252,59,2.0,2.78
253,91,1.0,94.9
254,91,2.0,5.1
255,60,2.0,68.11
256,60,1.0,31.89
257,99,3.0,71.98
258,99,2.0,25.53
259,99,1.0,2.49
260,82,1.0,79.13
261,82,2.0,20.87
